day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2020-01-05,494962,26.0,1.0,0.0,6.0,8.0,0.0,0.0,2.0,5.252928507643011e-05,2.020357118324235e-06,0.0,1.212214270994541e-05,1.616285694659388e-05,0.0,0.0,4.04071423664847e-06
2020-01-06,295288,9.0,0.0,0.0,6.0,4.0,1.0,0.0,6.0,3.0478719081032754e-05,0.0,0.0,2.0319146054021836e-05,1.354609736934789e-05,3.3865243423369727e-06,0.0,2.0319146054021836e-05
2020-01-15,24268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.120652711389484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,34491,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8993070656113188e-05,0.0,0.0,0.0,2.8993070656113188e-05,0.0,0.0,0.0
2020-01-18,445663,17.0,0.0,0.0,5.0,15.0,0.0,0.0,6.0,3.814541480894757e-05,0.0,0.0,1.1219239649690462e-05,3.3657718949071385e-05,0.0,0.0,1.3463087579628553e-05
2020-01-19,324735,8.0,0.0,0.0,8.0,4.0,0.0,0.0,4.0,2.4635472000246356e-05,0.0,0.0,2.4635472000246356e-05,1.2317736000123178e-05,0.0,0.0,1.2317736000123178e-05
2020-01-22,62688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5952016334864728e-05,0.0,0.0
2020-01-23,480881,20.0,0.0,0.0,9.0,6.0,2.0,1.0,4.0,4.1590331079830564e-05,0.0,0.0,1.8715648985923754e-05,1.2477099323949169e-05,4.159033107983056e-06,2.079516553991528e-06,8.318066215966111e-06
2020-01-24,473301,37.0,0.0,0.0,6.0,8.0,0.0,0.0,9.0,7.817435416362948e-05,0.0,0.0,1.2676922296804782e-05,1.6902563062406374e-05,0.0,0.0,1.9015383445207172e-05
2020-01-25,441083,21.0,0.0,0.0,6.0,8.0,0.0,1.0,12.0,4.7610086990430375e-05,0.0,0.0,1.360288199726582e-05,1.813717599635443e-05,0.0,2.2671469995443036e-06,2.720576399453164e-05
2020-01-26,483330,26.0,0.0,0.0,6.0,12.0,0.0,1.0,14.0,5.379347443775474e-05,0.0,0.0,1.241387871640494e-05,2.482775743280988e-05,0.0,2.06897978606749e-06,2.8965717004944862e-05
2020-01-27,475431,26.0,0.0,0.0,7.0,21.0,1.0,0.0,4.0,5.468722064821183e-05,0.0,0.0,1.4723482482210878e-05,4.4170447446632635e-05,2.1033546403158398e-06,0.0,8.413418561263359e-06
2020-01-28,475870,27.0,0.0,0.0,6.0,18.0,0.0,0.0,10.0,5.67381847983693e-05,0.0,0.0,1.2608485510748735e-05,3.78254565322462e-05,0.0,0.0,2.1014142517914556e-05
